structure_id,interpolation_fraction,gibbs_kcal_mol_ph7.4,rmsd_to_active,rmsd_to_inactive
path_00_f0.00,0.0,-9515.701454635366,0.0,3.1910994052886963
path_01_f0.10,0.1,-9509.841036744665,0.31910452246665955,2.871995449066162
path_02_f0.20,0.2,-9485.741884678804,0.6382083892822266,2.552891254425049
path_03_f0.30,0.30000000000000004,-9473.800828148085,0.957341194152832,2.2337584495544434
path_04_f0.40,0.4,-9288.683641781097,1.276455283164978,1.9146443605422974
path_05_f0.50,0.5,-8913.187333420037,1.595569133758545,1.5955305099487305
path_06_f0.60,0.6000000000000001,-9258.498542619769,1.9146426916122437,1.2764568328857422
path_07_f0.70,0.7000000000000001,-9172.041663066233,2.2337534427642822,0.9573460817337036
path_08_f0.80,0.8,-9283.125522542054,2.5528783798217773,0.6382212042808533
path_09_f0.90,0.9,-9335.951751743149,2.8720028400421143,0.3190971612930298
path_10_f1.00,1.0,-9393.627678839182,3.1911022663116455,0.0004969676956534386
