structure_id,interpolation_fraction,ionic_lock_like,pxxy_dry_distance,rmsd_to_active,rmsd_to_inactive,gibbs_kcal_mol
path_00_f0.00,0.0,11.942475318908691,12.415506362915039,0.0,9.421221733093262,-13896.971699361016
path_01_f0.10,0.1,11.87972354888916,12.493912696838379,0.9421261548995972,8.479095458984375,-13915.10279654969
path_02_f0.20,0.2,11.8252534866333,12.58000659942627,1.8842417001724243,7.536980152130127,-13921.639222759208
path_03_f0.30,0.30000000000000004,11.77890396118164,12.67361831665039,2.826375961303711,6.594846248626709,-13902.638024521706
path_04_f0.40,0.4,11.742157936096191,12.775437355041504,3.7684881687164307,5.65273380279541,-13857.4503509539
path_05_f0.50,0.5,11.712298393249512,12.883427619934082,4.710611343383789,4.710610389709473,-13784.799004206745
path_06_f0.60,0.6000000000000001,11.691521644592285,12.999269485473633,5.652733325958252,3.7684884071350098,-13827.208359597475
path_07_f0.70,0.7000000000000001,11.68072509765625,13.12208366394043,6.594830513000488,2.8263916969299316,-13878.98868568979
path_08_f0.80,0.8,11.677447319030762,13.250714302062988,7.536980152130127,1.8842415809631348,-13903.638933445061
path_09_f0.90,0.9,11.683209419250488,13.385716438293457,8.47907543182373,0.9421463012695312,-13890.905734444153
path_10_f1.00,1.0,11.697680473327637,13.527037620544434,9.421221733093262,0.0,-13916.503606142409
