structure_id,interpolation_fraction,gibbs_kcal_mol_ph7.4,gibbs_kcal_mol_ph6.0,rmsd_to_active,rmsd_to_inactive
path_00_f0.00,0.0,-12648.439170420326,-12525.509672423954,0.0,2.359875202178955
path_01_f0.10,0.1,-12649.224905424711,-12527.6971812233,0.23599527776241302,2.123880624771118
path_02_f0.20,0.2,-12628.70544844355,-12497.452116432603,0.4719749987125397,1.8879005908966064
path_03_f0.30,0.30000000000000004,-12561.718559785311,-12440.535369095063,0.7079662084579468,1.651909351348877
path_04_f0.40,0.4,-12350.17311342235,-12190.55885869155,0.9439451694488525,1.4159302711486816
path_05_f0.50,0.5,-12303.896308737847,-12172.217061257921,1.179933786392212,1.1799416542053223
path_06_f0.60,0.6000000000000001,-12456.887198045906,-12307.96732108696,1.4159188270568848,0.9439566731452942
path_07_f0.70,0.7000000000000001,-12536.990861504686,-12382.20460763296,1.65190589427948,0.707969605922699
path_08_f0.80,0.8,-12566.4381262016,-12428.397261752163,1.8879191875457764,0.4719562530517578
path_09_f0.90,0.9,-12583.248586874357,-12482.080497277302,2.123889684677124,0.23598621785640717
path_10_f1.00,1.0,-12619.962319210303,-12476.507142583285,2.3598861694335938,0.0004917642800137401
